"postXtreated","postXadopted","postXadoptedXfee_2.75","postXtreatedXfee_2.75","organization_uuid","timestamp_month","log_valid_volume","log_valid_volume_w5","log_nr_payments","log_nr_payments_w5","make_sale","treated","adopted","fee_2.75","treatedXfee_2.75","adoptedXfee_2.75","start_date"
0,0,0,0,"00e42548-ab4d-11ea-a68e-d3c028758c49",2020-06-01,0,0,0,0,0,1,0,1,1,0,2020-06-01
0,0,0,0,"00e42548-ab4d-11ea-a68e-d3c028758c49",2020-07-01,7.1766367219702,7.1766367219702,2.89037175789616,2.89037175789616,1,1,0,1,1,0,2020-06-01
0,0,0,0,"00e42548-ab4d-11ea-a68e-d3c028758c49",2020-08-01,7.9625062368009,7.9625062368009,3.76120011569356,3.76120011569356,1,1,0,1,1,0,2020-06-01
0,0,0,0,"00e42548-ab4d-11ea-a68e-d3c028758c49",2020-09-01,8.07496035911586,8.07496035911586,3.76120011569356,3.76120011569356,1,1,0,1,1,0,2020-06-01
1,0,0,1,"00e42548-ab4d-11ea-a68e-d3c028758c49",2020-10-01,8.62413725260376,8.62413725260376,4.33073334028633,4.33073334028633,1,1,0,1,1,0,2020-06-01
1,0,0,1,"00e42548-ab4d-11ea-a68e-d3c028758c49",2020-11-01,8.79656583599688,8.79656583599688,4.15888308335967,4.15888308335967,1,1,0,1,1,0,2020-06-01
1,0,0,1,"00e42548-ab4d-11ea-a68e-d3c028758c49",2020-12-01,8.77801780969814,8.77801780969814,3.89182029811063,3.89182029811063,1,1,0,1,1,0,2020-06-01
1,0,0,1,"00e42548-ab4d-11ea-a68e-d3c028758c49",2021-01-01,8.85645011861373,8.85645011861373,4.60517018598809,4.60517018598809,1,1,0,1,1,0,2020-06-01
1,0,0,1,"00e42548-ab4d-11ea-a68e-d3c028758c49",2021-02-01,9.06591557537336,9.06591557537336,4.7361984483945,4.69134788222914,1,1,0,1,1,0,2020-06-01
1,0,0,1,"00e42548-ab4d-11ea-a68e-d3c028758c49",2021-03-01,9.4444634273334,9.4444634273334,5.11198778835654,4.71849887129509,1,1,0,1,1,0,2020-06-01
0,0,0,0,"00e7bcde-c3a4-11ea-a4f8-9675ed97125a",2020-07-01,0,0,0,0,0,0,0,0,0,0,2020-07-01
0,0,0,0,"00e7bcde-c3a4-11ea-a4f8-9675ed97125a",2020-08-01,7.93773177526011,7.93773177526011,1.6094379124341,1.6094379124341,1,0,0,0,0,0,2020-07-01
0,0,0,0,"00e7bcde-c3a4-11ea-a4f8-9675ed97125a",2020-09-01,8.21635833238616,8.21635833238616,1.09861228866811,1.09861228866811,1,0,0,0,0,0,2020-07-01
0,0,0,0,"00e7bcde-c3a4-11ea-a4f8-9675ed97125a",2020-10-01,8.52595469708481,8.52595469708481,1.94591014905531,1.94591014905531,1,0,0,0,0,0,2020-07-01
0,0,0,0,"00e7bcde-c3a4-11ea-a4f8-9675ed97125a",2020-11-01,7.69211333959547,7.69211333959547,1.38629436111989,1.38629436111989,1,0,0,0,0,0,2020-07-01
0,0,0,0,"00e7bcde-c3a4-11ea-a4f8-9675ed97125a",2020-12-01,8.45126704130007,8.45126704130007,1.94591014905531,1.94591014905531,1,0,0,0,0,0,2020-07-01
0,0,0,0,"00e7bcde-c3a4-11ea-a4f8-9675ed97125a",2021-01-01,8.88613261817495,8.88613261817495,2.19722457733622,2.19722457733622,1,0,0,0,0,0,2020-07-01
0,0,0,0,"00e7bcde-c3a4-11ea-a4f8-9675ed97125a",2021-02-01,7.97968130238774,7.97968130238774,1.6094379124341,1.6094379124341,1,0,0,0,0,0,2020-07-01
0,0,0,0,"00e7bcde-c3a4-11ea-a4f8-9675ed97125a",2021-03-01,9.07577987858049,9.07577987858049,2.39789527279837,2.39789527279837,1,0,0,0,0,0,2020-07-01
0,0,0,0,"012179f2-baed-11ea-abb3-5f62529f9105",2020-06-01,0,0,0,0,0,1,0,1,1,0,2020-06-01
0,0,0,0,"012179f2-baed-11ea-abb3-5f62529f9105",2020-07-01,8.92292493064183,8.92292493064183,1.6094379124341,1.6094379124341,1,1,0,1,1,0,2020-06-01
0,0,0,0,"012179f2-baed-11ea-abb3-5f62529f9105",2020-08-01,8.92279162396964,8.92279162396964,0.693147180559945,0.693147180559945,1,1,0,1,1,0,2020-06-01
0,0,0,0,"012179f2-baed-11ea-abb3-5f62529f9105",2020-09-01,0,0,0,0,0,1,0,1,1,0,2020-06-01
1,0,0,1,"012179f2-baed-11ea-abb3-5f62529f9105",2020-10-01,0,0,0,0,0,1,0,1,1,0,2020-06-01
1,0,0,1,"012179f2-baed-11ea-abb3-5f62529f9105",2020-11-01,0,0,0,0,0,1,0,1,1,0,2020-06-01
1,0,0,1,"012179f2-baed-11ea-abb3-5f62529f9105",2020-12-01,0,0,0,0,0,1,0,1,1,0,2020-06-01
1,0,0,1,"012179f2-baed-11ea-abb3-5f62529f9105",2021-01-01,0,0,0,0,0,1,0,1,1,0,2020-06-01
1,0,0,1,"012179f2-baed-11ea-abb3-5f62529f9105",2021-02-01,0,0,0,0,0,1,0,1,1,0,2020-06-01
1,0,0,1,"012179f2-baed-11ea-abb3-5f62529f9105",2021-03-01,0,0,0,0,0,1,0,1,1,0,2020-06-01
0,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2020-05-01,9.55563075704828,9.55563075704828,2.94443897916644,2.94443897916644,1,1,0,0,0,0,2020-05-01
0,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2020-06-01,9.36168712447071,9.36168712447071,2.77258872223978,2.77258872223978,1,1,0,0,0,0,2020-05-01
0,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2020-07-01,8.80011394676631,8.80011394676631,1.6094379124341,1.6094379124341,1,1,0,0,0,0,2020-05-01
0,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2020-08-01,8.21093973337902,8.21093973337902,1.79175946922805,1.79175946922805,1,1,0,0,0,0,2020-05-01
0,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2020-09-01,8.61068353450358,8.61068353450358,2.30258509299405,2.30258509299405,1,1,0,0,0,0,2020-05-01
1,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2020-10-01,8.90815361332152,8.90815361332152,2.39789527279837,2.39789527279837,1,1,0,0,0,0,2020-05-01
1,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2020-11-01,8.91314653915181,8.91314653915181,2.19722457733622,2.19722457733622,1,1,0,0,0,0,2020-05-01
1,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2020-12-01,9.61973109808682,9.61973109808682,2.77258872223978,2.77258872223978,1,1,0,0,0,0,2020-05-01
1,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2021-01-01,9.53481232087482,9.53481232087482,2.19722457733622,2.19722457733622,1,1,0,0,0,0,2020-05-01
1,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2021-02-01,8.52595469708481,8.52595469708481,1.94591014905531,1.94591014905531,1,1,0,0,0,0,2020-05-01
1,0,0,0,"019d751c-90cb-11ea-9a0f-991386ffcff1",2021-03-01,8.65022645999758,8.65022645999758,2.19722457733622,2.19722457733622,1,1,0,0,0,0,2020-05-01
0,0,0,0,"01b2c744-b8a0-11ea-a588-4373bde344c9",2020-06-01,3.43398720448515,3.43398720448515,1.38629436111989,1.38629436111989,1,1,0,0,0,0,2020-06-01
0,0,0,0,"01b2c744-b8a0-11ea-a588-4373bde344c9",2020-07-01,9.77286620732769,9.77286620732769,3.04452243772342,3.04452243772342,1,1,0,0,0,0,2020-06-01
0,0,0,0,"01b2c744-b8a0-11ea-a588-4373bde344c9",2020-08-01,9.73660618023005,9.73660618023005,3.3322045101752,3.3322045101752,1,1,0,0,0,0,2020-06-01
